"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value","module","supermodule","dim_1","dim_2"
"Gnat2","OK",2.4455794108061e-76,18.4534592567768,0.0399272584466242,"Gnat2",6.24976873111772e-76,"4","1",-3.83960597752332,-1.99002855079712
"Celsr2","OK",0.0138286576588224,2.20211317135017,0.00465709004934091,"Celsr2",0.0196418725719444,"4","1",-3.54275791882276,-2.63773887413086
"Sars","OK",0,85.9078252580366,0.186462570981074,"Sars",0,"4","1",-3.01175110577344,-1.72274463432373
"Tmem167b","OK",1.52551961687321e-91,20.257493570935,0.0438995574754025,"Tmem167b",4.08520396528281e-91,"4","1",-2.85059778927564,-1.88742225425781
"Slc30a7","OK",0,68.3243952657663,0.148260209774274,"Slc30a7",0,"4","1",-3.30314796208142,-2.07315557258667
"Mfsd14a","OK",0,39.6328049475034,0.0859694607498185,"Mfsd14a",0,"4","1",-1.84657829045056,-1.48214261787475
"Tmem56","OK",0,119.719835284636,0.259872428641618,"Tmem56",0,"4","1",-3.32670943974256,-1.70161979454101
"Sec24d","OK",0,66.8033646793695,0.144962182834369,"Sec24d",0,"4","1",-3.42580144642591,-1.76125924842895
"Enpep","OK",4.85176893998023e-125,23.7552220805588,0.0514782311048596,"Enpep",1.4357600515125e-124,"4","1",-3.23809020756482,-1.76163738029541
"Gar1","OK",0,51.5641473259337,0.111885462132093,"Gar1",0,"4","1",-1.71403401135205,-1.631448915177
"Pla2g12a","OK",0,67.9972849362744,0.147552044712472,"Pla2g12a",0,"4","1",-3.84668700932263,-1.82214133995117
"Papss1","OK",5.94359667338667e-107,21.9355954425339,0.0475431524052918,"Papss1",1.66985206868911e-106,"4","1",-1.38094954727887,-1.51120059745849
"Gstcd","OK",0.000358896975554751,3.38269080895854,0.00725916502162473,"Gstcd",0.000541277397285969,"4","1",-3.09926288365125,-0.767785957031856
"Bdh2","OK",1.31756063288065e-141,25.3075924502848,0.0548568852841706,"Bdh2",4.05808674927239e-141,"4","1",-3.73163573979138,-2.03686683433593
"Miga1","OK",1.64747211886695e-09,5.91618508389678,0.0127302992595393,"Miga1",2.77530950718978e-09,"4","1",-2.32057039974927,-0.771320274048458
"Pdp1","OK",1.26395543663738e-09,5.95964201899258,0.012854209361484,"Pdp1",2.13135128816931e-09,"4","1",-1.71044199703931,-1.40358202713073
"Pm20d2","OK",2.79280055090805e-06,4.54149764132495,0.0097153875499069,"Pm20d2",4.44613847704561e-06,"4","1",-3.89683931111096,-1.70939176338256
"3110043O21Rik","OK",0,56.5799563207028,0.122764101128728,"3110043O21Rik",0,"4","1",-2.75613992451428,-1.36561124580444
"Dcaf12","OK",7.2967730873666e-242,33.1908433768873,0.0719865713574647,"Dcaf12",2.75729849612129e-241,"4","1",-2.3866934084773,-1.7314245011145
"Fam219a","OK",5.12519215004438e-05,3.88458733284139,0.00831933216044341,"Fam219a",7.91187984234637e-05,"4","1",-3.08602516888379,-2.2261959816748
"Vcp","OK",0,172.756988667026,0.375040211015534,"Vcp",0,"4","1",-3.02336805104016,-1.25743859069885
"Creb3","OK",0,89.3846183673645,0.19400318157957,"Creb3",0,"4","1",-2.20355384587049,-1.58295433776916
