"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Hcfc11" 3.29873269473841e-106 0.00857856245107552 1 1 4.68420042652855e-104 "0" "Hcfc1"
"Irf7" 3.91701011574814e-100 0.00243775946750119 1 1 5.56215436436235e-98 "0" "Irf7"
"Bach11" 1.735556011086e-98 0.00222945792522348 0.982 0.974 2.46448953574213e-96 "0" "Bach1"
"Polr3g1" 4.79343479764982e-92 0.00257269325588185 1 0.999 6.80667741266275e-90 "0" "Polr3g"
"Zfp7681" 4.81341544320157e-89 0.00227902624869142 1 1 6.83504992934623e-87 "0" "Zfp768"
"Esrra1" 2.93309904754381e-83 0.00504380960349823 1 1 4.16500064751221e-81 "0" "Esrra"
"Srf1" 5.15230849041841e-83 0.00299438323148114 1 0.999 7.31627805639415e-81 "0" "Srf"
"Nr1h4" 4.55349871755631e-71 0.00362749416498884 1 0.997 6.46596817892996e-69 "0" "Nr1h4"
"Hdac21" 5.75547007354502e-71 0.00601461850087109 1 1 8.17276750443393e-69 "0" "Hdac2"
"Brf21" 2.07388745821506e-68 0.00451343569656198 1 1 2.94492019066538e-66 "0" "Brf2"
"Ezh21" 5.02692299589926e-58 0.00378242053177263 1 1 7.13823065417695e-56 "0" "Ezh2"
"Klf15" 4.03448948339975e-49 0.00225239638331842 0.999 0.999 5.72897506642764e-47 "0" "Klf15"
"Tfe31" 4.43695754359158e-38 0.00134039751848281 1 1 6.30047971190005e-36 "0" "Tfe3"
"Tgif1" 3.95922835462916e-35 0.00359276253560846 0.815 0.787 5.6221042635734e-33 "0" "Tgif1"
"Ctcf1" 2.87801574059644e-33 0.00541685276370824 1 1 4.08678235164695e-31 "0" "Ctcf"
"Nfkb21" 8.9717498723869e-33 0.00157844251085885 0.646 0.602 1.27398848187894e-30 "0" "Nfkb2"
"Atf51" 2.60324076753046e-32 0.000723871961689694 0.992 0.985 3.69660188989326e-30 "0" "Atf5"
"Ppara1" 3.35974783523228e-30 0.00254311199999624 0.768 0.759 4.77084192602984e-28 "0" "Ppara"
"Ets11" 1.095299800442e-29 0.00300867812730397 1 1 1.55532571662764e-27 "0" "Ets1"
"Tbl1xr11" 1.38981131134813e-28 0.00203789242127388 1 1 1.97353206211434e-26 "0" "Tbl1xr1"
"Ahr1" 6.28957111278952e-28 0.00175568251068324 0.856 0.839 8.93119098016112e-26 "0" "Ahr"
"Ubtf1" 1.61106024678998e-26 0.00490979493601769 1 1 2.28770555044178e-24 "0" "Ubtf"
"Nr1i31" 4.87809616332734e-11 0.00127592680139102 1 1 6.92689655192482e-09 "0" "Nr1i3"
"E2f61" 5.18638031672403e-06 0.00134920583320115 1 1 0.000736466004974812 "0" "E2f6"
"Supt201" 0.000207372294082286 0.000957648532904816 1 1 0.0294468657596846 "0" "Supt20"
"Smarcc21" 0.00862327816879982 0.000238253457252187 0.999 0.996 1 "0" "Smarcc2"
